username,chat,emotion,toxicity
0,anything homophobic,anger,sexism
mustard #tin,apakabobo,anger,cyberbullying
B14SED#uWu,Are u a girl?cause u are so damn noob and boosted,anger,sexism
Burakdoy #0911,are u filipino?,neutral,not toxic
XH Ellie #sean,Are you okay? GGEZ,disgust,sarcasm
nishi#nich,Are you stupid?,anger,blaming others
machu,artinya apa bang messi?,neutral,not toxic
machu,artinya apa bang messi?>,neutral,not toxic
14th Element,ass,anger,cyberbullying
Fry #Bait,asshole,anger,cyberbullying
Diko na po maalala,asshole,anger,cyberbullying
KazukiNejima#Rieri,Asshole,anger,cyberbullying
LC5 MYCK #12345,at lahat ng pwede mong isipin na toxic grabe cla,anger,cyberbullying
zAki #Aein ,AT LEAST WE TRIED,neutral,not toxic
krazyybeeeee#barbs,at matulog ka na lang.,disgust,blaming others
bread#F01,autistic,disgust,ableism
Hyde #JAAB,auto derank pag may babae,disgust,sexism
CN kaz#MKAZ,auto lock duelist pa,disgust,RNG complaints
Leni Rebrimstone#yssa,Autopick Ampota,anger,RNG complaints
neverland,aw,neutral,not toxic
neverland,aw minute ako,neutral,not toxic
neverland,aw SANA KANINA PA GINAWA,anger,cyberbullying
Kana,awKEA,anger,Cyberbullying
"hello, i dont have a valorant account na since binenta ko sya dahil wala na me nakakalaro pero pinagsisihan din",AWTS,anger,sarcasm
Saberu,awww,anger,sarcasm
catseukki#WENZ,Ay babae,disgust,sexism
Vellium #3189,ay babae bobo yan,disgust,sexism
Manang Grasiya#1106,ay babae ka pala,disgust,sexism
Zoey #0623,ay babae pala to wala na talo na,disgust,sexism
botfrag haha #1432,ay yuck bakla ka?,disgust,sexism
"hello, i dont have a valorant account na since binenta ko sya dahil wala na me nakakalaro pero pinagsisihan din",ayeee ace,happy,not toxic
0,ayusin mo naman,disgust,blaming others
ETOC Kiyo#2213,B,neutral,not toxic
Scrix#9697,B,neutral,not toxic
Ninsbaby#Ganda,B site,neutral,not toxic
Siomai#5722,B*b0,anger,Cyberbullying
オーケー # euri,B*tch,anger,Cyberbullying
Saberu,b00bs,disgust,sexism
jumpingboa#KWON,b0b0,anger,Cyberbullying
Samyang#JULS,b0b0,anger,Cyberbullying
ecniv#0405,b0b0,anger,Cyberbullying
Leni Rebrimstone#yssa,B0b0 Niy0,anger,Cyberbullying
0,b9b9 (bobo),anger,Cyberbullying
DN NEMO#PEKOO,babae,neutral,not toxic
ces#41222,babae ka ba? ay babae (in disappointed tone) ,disgust,sexism
SpicyNugget#mcln,babae ka kasi,disgust,sexism
charmander #1107,babae ka kasi; tangina mo; bobo ampota; di ka ba mahal ng nanay mo?,disgust,sexism
monami#00626,babae ka lang,disgust,sexism
Kimchi#9161,babae ka siguro,disgust,sexism
vyn#rei,babae kase kaya ganyan,disgust,sexism
egg #bonn,babae kasi,disgust,sexism
Neneng Makulit#tpcal,babae kasi,disgust,sexism
Bossy Baby #LUSHY,Babae kasi,disgust,sexism
shiro#chrls,babae kasi,disgust,sexism
Bossy Baby #LUSHY,Babae kasi,disgust,sexism
calcifer#cruui,babae kasi e,disgust,sexism
DanaSoslar#abbie,Babae pala kaya bobo,disgust,sexism
indophenol#blue,babae siya,disgust,sexism
Miwa#0710,babae yan tanga yan (the discrimination tho),disgust,sexism
Jape,BACK KAYO NOH,disgust,Cyberbullying
anjwiii #ice,backseat gamers -__-,disgust,Cyberbullying
His Kitten#AWW,backseating,disgust,Cyberbullying
House #2257,backsite,neutral,Cyberbullying
elysiarson#bro,bad team,anger,Cyberbullying
60Hz #MJVST,bad words,anger,Cyberbullying
haruna#love,bad words,anger,Cyberbullying
オーケー # euri,Bad words,anger,Cyberbullying
haruna#love,bad words,anger,Cyberbullying
0,bad words,anger,Cyberbullying
Humble#3447,Bad words ,anger,Cyberbullying
DVS Mark #uWu,Bad words like Po**,anger,Cyberbullying
60Hz #MJVST,bad words.,anger,Cyberbullying
keyleeeee#00001,bading,disgust,sexism
DBTK MAGDALENA #BAKLA,bading as an insult),disgust,sexism
Naoki #0704,baiter,disgust,blaming others
Alysay#1004,baiter,disgust,blaming others
Chanchi#2004,baiting,disgust,blaming others
Jape,BAKA GEN MATH K P LANG NGAOYN AH?,anger,Cyberbullying
neverland,bakit ako maiinggit,neutral,not toxic
botfrag haha #1432,bakit ka pa kasi nag laro kung ambag mo dito kabobohan lang yung aim mo hindi talaga maganda,anger,blaming others
暗Cloudcry ツ #4909,bakit ka pa nag lalaro,anger,blaming others
Shizuwu,Bakla,disgust,sexism
DBTK MAGDALENA #BAKLA,bakla,disgust,sexism
DanaSoslar#abbie,bakla,disgust,sexism
keyleeeee#00001,bakla,disgust,sexism
P∆P SammyP #CMMA,bakla.,disgust,sexism
XH SOLARIA #laity,bano,disgust,cyberbullying
Chicken Adobo#Les,Bano,anger,cyberbullying
Migs#4Youu,Bano,anger,cyberbullying
SpicyNugget#mcln,bano,anger,cyberbullying
bumalik kana hmp#imy,bano,anger,cyberbullying
mart1ne#0801,bano,anger,cyberbullying
PandaBaby #BABY,bano,anger,cyberbullying
keyleeeee#00001,bano,anger,cyberbullying
Miwa#0710,bano ka,anger,blaming others
I See That Im #ceeg,basic,happy,sarcasm
Dos #akosi,basta babae,disgust,sexism
Essseine#9769,Basta babae alam na,disgust,sexism
Calamacakes#cakes,basta madami pa,disgust,cyberbullying
PandaBaby #BABY,basura,disgust,cyberbullying
Tadashi#3805,Bat ang bobo mo,anger,blaming others
neverland,bat tumahimik,disgust,sarcasm
SUPA H0T FIRE #6969,Bawi next  game,sad,not toxic
PandaBaby #BABY,bayot,disgust,sexism
Maku#8706,bb,anger,cyberbullying
cogie#rei,bb,anger,cyberbullying
Sora#ODRI,bb,anger,cyberbullying
HanJ#8528,bb,anger,cyberbullying
Player1#2110,Bb (bobo),anger,cyberbullying
fishybench#6069,BB(bobo),anger,cyberbullying
Chicken Adobo#Les,Bengsat,disgust,cyberbullying
LNC Herson#ENGR,Betlog,disgust,sexism
SSunday#nocap,bhenchod,disgust,Cyberbullying
Jape,BIGGEST ACHIEVEMENT MO TOL?,disgust,sarcasm
keyleeeee#00001,binigay as kuya,disgust,Cyberbullying
keyleeeee#00001,binili account,disgust,Cyberbullying
TBE Whack#cutie,binubuhat lang kita,disgust,blaming others
DBTK MAGDALENA #BAKLA,biot,disgust,sexism
Migs#4Youu,Bisakol,anger,racism
Kyouko #1234,Bisakol,anger,racism
RAAALD #3685,bisakol,anger,racism
Donut #Sunfl,Bisakol(from Tagalog players as if being bisaya is a downgrade),anger,racism
haru#riee,bisaya,disgust,racism
14th Element,bitch,anger,sexism
Psychedelic #kohi,Bitch,neutral,sexism
A3SPA KyZ3N#00001,bitch,disgust,sexism
BBG chicken#jen,Bitch,anger,sexism
DROWHUNTER #2458,bitch,disgust,sexism
keshii#zZzzZ,bitch,anger,sexism
Dooby #babi,bitch,anger,sexism
Diko na po maalala,bitch,disgust,sexism
La muerte #1412,bitch,anger,sexism
Aiko#0425,bitch,disgust,sexism
KazukiNejima#Rieri,Bitch,disgust,sexism
narki #11010,bitch,anger,sexism
Yumi Noona#Lewd,Bitch,disgust,sexism
Vera Gaming #Dyan,Bitch and many more,anger,sexism
elysiarson#bro,bitch/my bitch etc.,anger,Cyberbullying
neverland,bitter ka masyado,disgust,Cyberbullying
Fry #Bait,blind,neutral,not toxic
JesusFries #6969,bo,anger,Cyberbullying
Burakdoy #0911,bo*o,disgust,Cyberbullying
JesusFries #6969,bo; pu,anger,Cyberbullying
Jape,bob king aimo,anger,Cyberbullying
Gavv #domo,bob*,anger,cyberbullying
neverland,BOBO,anger,Cyberbullying
Kuroboshi,bobo,happy,Cyberbullying
Kuroboshi,bobo,anger,Cyberbullying
Kuroboshi,bobo,anger,Cyberbullying
Kuroboshi,BOBO,anger,Cyberbullying
Kuroboshi,BOBO,anger,Cyberbullying
neverland,bobo,happy,cyberbullying
neverland,BOBO,anger,cyberbullying
neverland,bobo,anger,cyberbullying
14th Element,bobo,happy,cyberbullying
Crescht #blom,bobo,anger,Cyberbullying
Berith#TWICE,bobo,anger,Cyberbullying
Extalia II#Rexum,Bobo,happy,cyberbullying
0,BOBO,anger,cyberbullying
XH SOLARIA #laity,Bobo,anger,cyberbullying
comrade john#0811,bobo,happy,Cyberbullying
Amira #Cutie,Bobo,anger,Cyberbullying
Farci :2712,bobo,anger,Cyberbullying
Asclepius #danic,bobo,happy,cyberbullying
INS Leo#Shawn,bobo,anger,cyberbullying
Abystigma#TRUTH,bobo,anger,cyberbullying
aniy3ong #2708,bobo,happy,cyberbullying
CHRONOS #MICHY,bobo,anger,cyberbullying
Nachos#5698,bobo,anger,Cyberbullying
Squarton #luke,bobo,anger,Cyberbullying
p1nk venom #BLINK,bobo,happy,Cyberbullying
eya#1010,bobo,anger,cyberbullying
Sleazex#RAKK,bobo,anger,cyberbullying
Ryujin#0418,Bobo,anger,Cyberbullying
Wally Bayola#2774,Bobo,happy,cyberbullying
Eirlys#5852,bobo,anger,Cyberbullying
BL JeromePlays#Heal,Bobo,happy,Cyberbullying
RememberTheBeat #0220,bobo,anger,Cyberbullying
Nek0#meoww,bobo,happy,cyberbullying
Potion #STIV,bobo,anger,cyberbullying
DDT imjiiix #krv13,Bobo,anger,Cyberbullying
klee#teya,bobo,anger,Cyberbullying
Inés #xiao,bobo,anger,Cyberbullying
Going Merry#0428,bobo,anger,Cyberbullying
Danke Seb V5#0310,Bobo,disgust,cyberbullying
Chicken Adobo#Les,Bobo,anger,cyberbullying
Killua,Bobo,anger,cyberbullying
Creep#2851,bobo,anger,cyberbullying
kaorikoko #cry,bobo,disgust,cyberbullying
strawberry #mica,bobo,anger,Cyberbullying
ADMR14#DALE,bobo,anger,Cyberbullying
Teresa #Paula,Bobo,disgust,cyberbullying
xrazy jane#mello,bobo,anger,cyberbullying
Itsviiiii #cute,bobo,anger,cyberbullying
G2V Yadidss #0413,bobo,anger,Cyberbullying
laufeyson #3796,bobo,disgust,cyberbullying
GEORGINA #RG28,bobo,anger,cyberbullying
GZ Chitandaa#Hyou,bobo,anger,cyberbullying
SRD Huncho #REBEL,Bobo,anger,cyberbullying
narki #11010,Bobo,anger,cyberbullying
Alysay#1004,bobo,anger,cyberbullying
keyleeeee#00001,bobo,disgust,cyberbullying
Fool #6104,Bobo,anger,cyberbullying
Zero Integral #AVI,Bobo,anger,cyberbullying
KingQueen#jeff,bobo  ,anger,cyberbullying
0,bobo (+ variants),anger,cyberbullying
0,bobo (+ variants),anger,cyberbullying
neverland,bobo amp,anger,Cyberbullying
DRM Aim Bot #PJAY,bobo amp,anger,Cyberbullying
Bianx#whiff,bobo ampota,anger,Blaming others
Wally Bayola#2774 ,Bobo ampota,anger,Blaming others
sileighty#240sx,bobo amputa,anger,Blaming others
Kyouko #1234,Bobo amputa,anger,Blaming others
ylysah#mer,bobo amputa,anger,Blaming others
R0R0N0A Z0R0#1234,Bobo can be common when losing badly or from random duos or trios.,anger,Blaming others
XH Elly#0001,bobo HAHAHAHAHAAHA,anger,Cyberbullying
neverland,bobo ka,anger,Cyberbullying
XH NCKS#cute,Bobo ka,anger,Cyberbullying
RapyDapy#0001,BOBO KA,anger,Blaming others
Kyouko #1234,bobo ka,anger,Blaming others
Pupibro シ #PUPI,bobo ka,anger,Blaming others
TBE Whack#cutie,bobo ka,anger,Blaming others
Claive Haine#ori,Bobo ka,anger,Blaming others
Eirlys#5852,bobo ka,anger,Blaming others
prans#kath,bobo ka,anger,Cyberbullying
MiNayeon#PENGU,Bobo ka,anger,Cyberbullying
Jeffers0n#2004,bobo ka,anger,Cyberbullying
Daemon#jmavy,'bobo ka',anger,Cyberbullying
neverland,bobo ka ,anger,Cyberbullying
Hyacinth#6661,'bobo ka (agent name)' 'babae pala kaya pala bobo' 'pa kant*t ka nlng saken (agent name)',anger,Blaming others
TBE Whack#cutie,bobo ka magkaro babae ka ba?,anger,Blaming others
krazyybeeeee#barbs,bobo ka maglaro,anger,Blaming others
VACation #8952,bobo killjoy,anger,Blaming others
neverland,bobo mag set up hahah,anger,cyberbullying
Asclepius #danic,bobo mo,anger,Cyberbullying
Asclepius #danic,bobo mo,anger,cyberbullying
Jeeeeeelly #Ace,bobo mo,anger,Blaming others
Protatoes#0505,Bobo mo,anger,Blaming others
HY Cue#0208,bobo mo,anger,Blaming others
A3SPA KyZ3N#00001,Bobo mo,anger,Blaming others
SpicyNugget#mcln,bobo mo,anger,Blaming others
Calamacakes#cakes,bobo mo,anger,Blaming others
McDanolds#Coke,Bobo mo,anger,Blaming others
uzi#ayoo,bobo mo,anger,Blaming others
Beelzebub#fly,bobo mo,anger,Blaming others
ram #0412,bobo mo,anger,Blaming others
SCE Sphynx#tin,bobo mo,anger,Blaming others
mustard #tin,bobo mo,anger,Blaming others
0,Bobo mo,anger,Cyberbullying
Daga #mouse,Bobo mo,anger,Blaming others
Summer #May,Bobo mo,anger,Cyberbullying
Jiro#9373,Bobo mo,anger,Blaming others
IV of Fade #OPM,Bobo mo,anger,Cyberbullying
zenin#1202,bobo mo (agent name),anger,Cyberbullying
Gustavo #KDK,Bobo mo *agent*,anger,Cyberbullying
McDanolds#Coke,Bobo mo amputa,anger,Cyberbullying
PoH#04009,bobo mo balik kna sa nanay mo,anger,Blaming others
Amira #Cutie,Bobo mo botfrag,anger,Blaming others
LSGN MaysterJoe#3109,Bobo mo g*go,anger,Blaming others
CN kaz#MKAZ,Bobo mo mag duelist,anger,Cyberbullying
Serendipity#TW1SH,Bobo mo maglaro,anger,Cyberbullying
Eris#akuma,bobo mo naman,anger,Blaming others
comrade john#0811,bobo mo naman,anger,Cyberbullying
Shiroyasha #cute,Bobo mo naman,anger,Cyberbullying
mau#1229,bobo mo naman,anger,Blaming others
#Tesla,Bobo mo naman,anger,Cyberbullying
StrwbrryJa#5720,Bobo mo naman,anger,Blaming others
Fry #Bait,bobo mo naman ,anger,Cyberbullying
WIR Gyozaaa#3025,bobo mo puta.,anger,Cyberbullying
Kagome#BigPP,Bobo mo putang ina ka,anger,Cyberbullying
badtzmaru #gers,'bobo mo talaga' 'wala ka namang kwenta' 'iyotin ko yang nanay mo eh' 'chingchong ka lang!' 'bumalik ka na nga sa kusina,anger,Cyberbullying
KennyX #30 6,bobo mo tangina wag kana maglaro,anger,Cyberbullying
sileighty#240sx,bobo mo tumutok,anger,Cyberbullying
ilovesummer#ily,bobo mo! wag ka na maglaro. quit ka na ng valorant. pabuhat,anger,Gamesplaining
Calmpath #9409,"Bobo ng ""insert agent""",anger,Cyberbullying
chimken nagets #jeyzz,bobo ng nanay mo,anger,Blaming others
smithereens #1111,bobo nito,anger,Blaming others
AXR lampniibarra #RZCT,Bobo niyo,anger,Blaming others
tinapangtubol#kobe,bobo niyo,anger,Blaming others
yawards #maraj,bobo nyo naman sana mamatay kayo,anger,Blaming others
Miwa#0710,bobo siguro nanay mo,anger,Cyberbullying
Dos #akosi,bobo talaga,anger,Cyberbullying
#POGI,"bobo
",anger,Cyberbullying
60Hz #MJVST,bobo.,anger,Cyberbullying
Road#0020,bobo. Anything offensive.,anger,Blaming others
Astræa #7862,Bobo/dumb,anger,Blaming others
Kuraidu #yAah,Bobo/Idiot,anger,Blaming others
purr purr#baby,Bobo/stupid,anger,Blaming others
o7 naevis #nvstr,Bobo/stupid,anger,Cyberbullying
neverland,BOBO\,anger,Cyberbullying
Markehfi #del,bobomosage,anger,Blaming others
Anna#sane,Bobong (insert agent name),anger,Blaming others
xNightfallx,bodo,anger,Blaming others
Jeeeeeelly #Ace,bogok,anger,Blaming others
Jeeeeeelly #Ace,bogok,anger,cyberbullying
iMissHer #hesk,bonak,anger,Blaming others
ego #1468,bonak.,anger,Blaming others
DDT imjiiix #krv13,boosted,disgust,EBR complaints
XH gelocin#jakem,boosted,disgust,EBR complaints
yann19#YAZZ,boosted,disgust,EBR complaints
DDT Panda #josh,boosted,disgust,EBR complaints
chewu#LRRY,boosted,disgust,EBR complaints
shiro#chrls,boosted,disgust,EBR complaints
Kirisu#RSNNE,boosted,neutral,EBR complaints
zerre#cire,boosted,neutral,EBR complaints
PZX KEN #EALYN,boosted,neutral,EBR complaints
Marius#9310,boosted,disgust,EBR complaints
sushimi #maki,boosted,disgust,EBR complaints
Jeffers0n#2004,boosted,disgust,EBR complaints
o7 naevis #nvstr,boosted,disgust,EBR complaints
baò#huáng,Boosted,disgust,EBR complaints
his toyo #womp,boosted,disgust,EBR complaints
haru#riee,boosted,disgust,EBR complaints
bumalik kana hmp#imy,boosted,disgust,EBR complaints
ylysah#mer,boosted,disgust,EBR complaints
Luna#Anne,boosted,disgust,EBR complaints
ambag ko topfrag #mwaps,boosted,disgust,EBR complaints
1T Draaaude #k1ng,Boosted,disgust,EBR complaints
sve#10969,boosted,disgust,EBR complaints
Chanchi#2004,boosted,disgust,EBR complaints
Alysay#1004,boosted,disgust,EBR complaints
Amehrys #HARU,boosted,disgust,EBR complaints
RazG#Razzy,Boosted,disgust,EBR complaints
Kirisu#RSNNE,boosted,disgust,EBR complaints
1T Draaaude #k1ng,boosted,disgust,EBR complaints
Leo #cal,boosted,disgust,EBR complaints
RazG#Razzy,Boosted Shit,disgust,EBR complaints
neverland,boosted si tropa,disgust,EBR complaints
kaorikoko #cry,boring,disgust,EBR complaints
kyo#yel,boring,disgust,EBR complaints
pheyb #ajn,boring,disgust,EBR complaints
RememberTheBeat #0220,bot,neutral,Cyberbullying
his toyo #womp,bot,disgust,EBR complaints
愛 Soleil#bub,Bot frag,disgust,Cyberbullying
valkri#4126,bot frag,disgust,EBR complaints
NinJayx#5601,bot frag,disgust,Cyberbullying
CN kaz#MKAZ,bot frag ampota,disgust,EBR complaints
Shinsquared#2020,bot frag duelist,disgust,Cyberbullying
0,bot fragger,disgust,EBR complaints
0lea #So1e,Botfrag,disgust,Cyberbullying
hanibiiiii#9999,botfrag,disgust,EBR complaints
#POGI,BOTFRAG,disgust,Cyberbullying
Saeko#Caius,botfrag,disgust,EBR complaints
Woo wop #2221,botfrag,disgust,Cyberbullying
Shanice#111,Botfrag,disgust,EBR complaints
#POGI,botfrag,disgust,Cyberbullying
Adult Hipster #6969,botfrag bobo,disgust,Cyberbullying
FY scorpio#Engr,botfrag duelist,disgust,blaming others
Jayx,both ya,neutral,not toxic
Saberu,bots,disgust,sarcasm
RememberTheBeat #0220,bots,disgust,sarcasm
CK03,bottbrag,disgust,sarcasm
MiAmoré#zoro,bovo,disgust,cyberbullying
Jayx,brah,disgust,sarcasm
SCE Hades #Riz,brain dead,disgust,sarcasm
Marius#9310,brain dead,disgust,sarcasm
elysiarson#bro,brain dead,disgust,sarcasm
Kuraidu #yAah,Brain dead,disgust,sarcasm
GZ Chitandaa#Hyou,brain dead,disgust,sarcasm
DRB Ashen#kity,braindead,disgust,cyberbullying
sujin #9488,braindead,disgust,cyberbullying
0,braindead,disgust,cyberbullying
ray4c#1103,braindead,disgust,cyberbullying
mustard #tin,braindead,disgust,cyberbullying
Jayx,Bro,neutral,not toxic
bagal #3250,bro,neutral,not toxic
"hello, i dont have a valorant account na since binenta ko sya dahil wala na me nakakalaro pero pinagsisihan din",BRO,anger,Cyberbullying
TWICE Dahyun#MDAA,bro entry.,neutral,blaming others
Jape,bro im good,happy,not toxic
Katsuki#AJKSS,bro ur sh*t,anger,blaming others
Saberu,bro*,neutral,not toxic
Wag ka iiyak,bruh,sad,sarcasm
bagal #3250,bruh,neutral,not toxic
Aendi #1108,bruh (pag namatay hahahaha),sad,sarcasm
Naofumi#0721,bubo,anger,Cyberbullying
onin#ekis,bubo,anger,Cyberbullying
Jape,bugo haha,anger,Cyberbullying
yann19#YAZZ,buhat,anger,EBR complaints
Tap #0000,BULAG,anger,Cyberbullying
his toyo #womp,bulag ka ba,anger,Cyberbullying
PZX KEN #EALYN,bullying about being a bisexual ( part of lgbtq community),anger,sexism
klee#teya,bulok,disgust,Cyberbullying
RoDe0#69420,bulok,disgust,Cyberbullying
xzSenju,bulok,disgust,Cyberbullying
Aullie #4399,bulok,disgust,Cyberbullying
RGB 0000FF#BLUE,bumalik ka na sa nanay mo,anger,cyberbullying
indophenol#blue,bumalik ka na sa nanay mo,anger,cyberbullying
Miwa#0710,burat,disgust,sexism
The Unforgiven #makuu,but as time passes by i didnt mind it anymore. The words that i see mostly is probably the '?' sign. I've been playing valorant for 3 months and my rank is Gold 2 not bad i think.,happy,sarcasm
neverland,but why,neutral,not toxic
neverland,buti pa si kj,disgust,sarcasm
Danizue#GF2,Bv,anger,Cyberbullying
Danizue#GF2,Bv,anger,Cyberbullying
Iskiri,c,neutral,not toxic
Saberu,C,neutral,not toxic
Scrix#9697,C,neutral,not toxic
Burakdoy #0911,C,neutral,not toxic
Ninsbaby#Ganda,C site,neutral,not toxic
Pulutang Ene #cesca,call outs,happy,not toxic
chiefZr0#6969,call outs,happy,not toxic
Nikephoros#0000,calling me idiot,anger,blaming others
eris #gebb,callouts,happy,not toxic
eris#gebb,call-outs,happy,not toxic
Manang Grasiya#1106,can I add u on discord?,neutral,not toxic
amity#ars,can you buy/drop me,neutral,not toxic
ZeroTwo#Kneel,can you drop me?,neutral,not toxic
SCE Nil#0227,cancer,disgust,ableism
TRB Chimkemn #star,cancer ka,anger,blaming others
K45oyik #1206,can't play in this elo,disgust,MM complaints
Lwyslo#SMN,cao ni ma,anger,Cyberbullying
Di ko tanda ign ko. Mag answer nalang ako hahaha,Cao ni ma,anger,Cyberbullying
mellow#melo,'cao ni ma' 'tang ina mo' 'bobo' 'ampota',anger,Cyberbullying
machu,caoo ni maaa,anger,not toxic
bagal #3250,care flank,neutral,not toxic
TheSacredCat #1222,carried,disgust,Cyberbullying
Kirisu#RSNNE,carried,disgust,EBR complaints
1T Draaaude #k1ng,carried,disgust,EBR complaints
Kirisu#RSNNE,carried,disgust,EBR complaints
jidi #ritze,catcalling,disgust,Cyberbullying
Lexgetit #LJC,censored words such as curse words,disgust,Cyberbullying
neverland,chamba lang yun,disgust,RNG complaints
Onikku,chambalero ampota,disgust,Cyberbullying
Jape,Chamber is ON THE WAY to B Garage,neutral,not toxic
haru#riee,cheater,disgust,EBR complaints
Naoki #0704,cheater,disgust,EBR complaints
Tap #0000,CHEATER,anger,EBR complaints
PRKN VINCE #Queen,check corners,neutral,not toxic
elysiarson#bro,chinese people cussing (i understand some basics and ik what they’re saying but i can’t write yet) you’re fucking brain dead,anger,Cyberbullying
el cucuy#razon,ching chong,anger,racism
Pulutang Ene #cesca,chingchong,anger,racism
Liyan #AX1A,chingchong,anger,racism
Liyan #AX1A,Chingchong,anger,racism
SSunday#nocap,chutiya,anger,Cyberbullying
SSunday#nocap,chutiya,anger,Cyberbullying
Burakdoy #0911,close,neutral,not toxic
Giyu#SLYR,clutch or gay,disgust,sexism
RAGING T1TE !vamos,clutch or gay,disgust,sexism
Saberu,clutch or gey,disgust,sexism
CE somi#zenin,cock sucker,disgust,sexism
RBS Mond #2486,comma,neutral,not toxic
Yangbratz#vlrnt,command,neutral,not toxic
Yangbratz#vlrnt,command,neutral,not toxic
Kennnny #Yeji,Commands,neutral,not toxic
Kennnny #Yeji,Commands,neutral,not toxic
Kenma#mau,Comms,neutral,not toxic
Kenma#Zero,comms,neutral,not toxic
Shelbz # Boss,Comms,neutral,not toxic
Burakdoy #0911,Comms,neutral,not toxic
Maeve#whiff,comms,sad,not toxic
Akira#jig,"comms and trashtalks like ""stupid",anger,Cyberbullying
Jape,comms diff,sad,MM complaints
Mamas boyyy #Cobe,Comms generally,neutral,not toxic
Kenma#mau,Comms only so far,neutral,not toxic
P∆P SammyP #CMMA,Communication in general,neutral,not toxic
PoH#04009,coms lang sa laro ,neutral,not toxic
klee#teya,Comshop mic,disgust,cyberbullying
Kana,cool new map,happy,not toxic
Yaroツ#pork,cool skin,happy,not toxic
neverland,CORNT,disgust,Cyberbullying
neverland,cornt,disgust,ableism
neverland,CORNT,disgust,ableism
Di ko tanda ign ko. Mag answer nalang ako hahaha,Covid,disgust,racism
Pulutang Ene #cesca,covid bringer,disgust,racism
Jape,coward bitch,disgust,sexism
James reid#3161,cringe,disgust,Cyberbullying
Soleil Cramoisi#SEUL,cringe,disgust,Cyberbullying
SULLENESS#diu2,Cringe,disgust,Cyberbullying
neverland,ct,neutral,not toxic
Diko na po maalala,cunt,anger,Cyberbullying
0,Curse,anger,Cyberbullying
0,Curse,anger,Cyberbullying
pancake #dgaf,curse words,anger,Cyberbullying
Kenma#Zero,curse words,anger,Cyberbullying
PSD TheeEmm #cynch,curse words,anger,Cyberbullying
Beelzebub#fly,curse words like,anger,Cyberbullying
Mochi#shiya,curse words mostly,anger,Cyberbullying
Mochi#shiya,curse words mostly,anger,Cyberbullying
Sen Otenz#666,Cursed word,anger,Cyberbullying
spiritomb#ksks,cursive words,anger,Cyberbullying
SungJinwoo#aceu,Cuss words (ranging from putangina mo to bobo mo),anger,Cyberbullying
SungJinwoo#aceu,Cuss words (ranging from putangina mo to bobo mo),anger,Cyberbullying
neverland,cute potelk,anger,not toxic
Brawk #GEAR,c-word,anger,Cyberbullying
Fleur Du Soleil #Asura,Cyka blyat,anger,Cyberbullying
neverland,cyy,neutral,not toxic
neverland,D MABUHAT?,anger,Sarcasm
Vaxi#Vaxi,daddy,neutral,not toxic
keyleeeee#00001,damage reports,neutral,not toxic
neverland,DAMI KILLS WALA ENTRY,anger,Blaming others
"hello, i dont have a valorant account na since binenta ko sya dahil wala na me nakakalaro pero pinagsisihan din",DAMN BRO,anger,blaming others
Onikku,DAPA,anger,Cyberbullying
0,Dapat hindi ka nalang nag valorant,anger,Blaming others
Jeffers0n#2004,dapat mga lalaki lang naglalaro neto bawal babae) the last part is where I triggered the most because I commonly played with my girl friends and it just sucks that they are discriminating's the gender by just playing bad.,anger,sexism
SCE Sphynx#tin,dapat nag delete ka nalang ng valo,anger,Cyberbullying
madeemoicelle #M4CE,dapat sayo di nagvavalorant,anger,Cyberbullying
Adult Hipster #6969,death threats,anger,Cyberbullying
ginanon lng aq #ahri,death threats,anger,Cyberbullying
McDanolds#Coke,Delete mo na game,anger,Cyberbullying
Aendi #1108,delete na kayo valo nyo,anger,Cyberbullying
Mamas boyyy #Cobe,delete the game,anger,Gamesplaining
McDanolds#Coke,Delete the game,anger,Gamesplaining
Zero Sevet #NOCAP,delete valorant,anger,Gamesplaining
Soleil Cramoisi#SEUL,delete valorant,anger,Gamesplaining
jennie kim #0124,Delete/Quit the game,anger,Gamesplaining
jennie kim #0124,Delete/Quit the game,anger,Gamesplaining
Aiko#0425,delinquent,anger,Gamesplaining
Shizuwu,deynmwaps,anger,not toxic
TRB Chimkemn #star,di ka mahal ng mahal mo,anger,cyberbullying
TRB Chimkemn #star,di ka mahal ng mama mo,anger,cyberbullying
hecs#2OO1,Di ka mahal ng mama mo,anger,cyberbullying
hecs#2001,Di ka mahal ng mama mo,anger,cyberbullying
PandaBaby #BABY,di ka mahal ng nanay mo,anger,cyberbullying
RAAALD #3685,di ka na aangat etc.,anger,cyberbullying
Herakles #qqqqq,Di kana sana nabuhay,anger,cyberbullying
neverland,di lang cringe ign,anger,Ableism
LC5 MYCK #12345,di maruning,anger,cyberbullying
RoDe0#69420,di marunong,anger,cyberbullying
RoDe0#69420,di marunong,anger,cyberbullying
Amethyst#8899,di marunong,anger,cyberbullying
I dont play anymore haha,di marunong,anger,cyberbullying
yuzwmiski#euge,di marunong,anger,cyberbullying
Quokka#cola,di marunong,anger,cyberbullying
Quokka#cola,di marunong ampota,anger,cyberbullying
sileighty#240sx,di marunong mag computer,anger,cyberbullying
Gavv #domo,"di marunong""",anger,Gamesplaining
Hyde #JAAB,di marurunong,anger,cyberbullying
neverland,di na nakabalik?,anger,Blaming others
neverland,di nakikipagtrashtalkan tapos aalis,anger,Gamesplaining
keyleeeee#00001,di naliligo,anger,cyberbullying
